product_id,product_name,category,price
101,Sony Bravia 65 4K TV,Electronics,125000.00
102,Samsung Galaxy S24,Electronics,85000.00
103,Apple MacBook Pro M3,Electronics,185000.00
104,Dell XPS 15,Electronics,145000.00
105,Bose QuietComfort Headphones,Electronics,29900.00
106,Teak Wood King Bed,Furniture,65000.00
107,L-Shaped Leather Sofa,Furniture,85000.00
108,Ergonomic Office Chair,Furniture,15000.00
109,Sheesham Wood Dining Table,Furniture,45000.00
110,Wooden Bookshelf,Furniture,12500.00
111,Nike Running Shoes,Apparel,7500.00
112,Levi's Denim Jacket,Apparel,4500.00
113,Adidas Sports T-Shirt,Apparel,1500.00
114,Puma Track Pants,Apparel,2200.00
115,Raymond Formal Suit,Apparel,12000.00
116,Whirlpool Refrigerator 300L,Appliances,32000.00
117,LG Washing Machine 8kg,Appliances,28000.00
118,Dyson V12 Vacuum Cleaner,Appliances,55000.00
119,Philips Air Fryer,Appliances,8500.00
120,Bajaj Mixer Grinder,Appliances,3500.00
121,Casio Edifice Watch,Accessories,11000.00
122,Ray-Ban Aviator Sunglasses,Accessories,8500.00
123,American Tourister Trolley,Accessories,6500.00
124,Fossil Leather Wallet,Accessories,3000.00
125,Titan Smartwatch,Accessories,9500.00
126,Cosco Football,Sports,1200.00
127,Yonex Badminton Racket,Sports,4500.00
128,MRF Cricket Bat,Sports,8500.00
129,Decathlon Yoga Mat,Sports,900.00
130,Nivia Basketball,Sports,1500.00
131,L'Oreal Shampoo 1L,Beauty,950.00
132,MAC Lipstick,Beauty,1800.00
133,Kama Ayurveda Face Serum,Beauty,2500.00
134,Nivea Body Lotion 500ml,Beauty,450.00
135,Gillette Mach3 Razor,Beauty,350.00
136,Godrej Interio Wardrobe,Furniture,55000.00
137,Wakefit Orthopedic Mattress,Furniture,18000.00
138,Nilkamal Plastic Chair,Furniture,900.00
139,IKEA TV Unit,Furniture,14000.00
140,FabIndia Cotton Kurta,Apparel,2500.00
141,Biba Salwar Suit,Apparel,4500.00
142,Allen Solly Formal Shirt,Apparel,1800.00
143,JBL Bluetooth Speaker,Electronics,8500.00
144,Logitech Wireless Mouse,Electronics,1200.00
145,Epson EcoTank Printer,Electronics,16500.00
146,Prestige Pressure Cooker,Appliances,2200.00
147,Voltas 1.5 Ton AC,Appliances,38000.00
148,Havells Ceiling Fan,Appliances,2800.00
149,Fastrack Backpack,Accessories,1800.00
150,Wildcraft Trekking Bag,Accessories,3500.00
